Compound,Date,Negative,Neutral,News Outlet,Positive,Tweet Text,Tweets Count
0.0,Sat Jul 14 03:37:14 +0000 2018,0.0,1.0,@CNN,0.0,"Meet Care-E, the automated airport assistant that scans a boarding pass, carries luggage and guides passengers to t… https://t.co/dYT6NIBJ4p",10
0.0,Sat Jul 14 03:31:04 +0000 2018,0.0,1.0,@CNN,0.0,"Tomatoes and strawberries were disappearing for weeks from hanging baskets outside this family's house, but a secur… https://t.co/uqaam0yNAA",11
0.0,Sat Jul 14 03:27:58 +0000 2018,0.0,1.0,@CNN,0.0,"Stitch Fix is tapping into the children's apparel market, launching subscription boxes with sizes 2T to 14. Founder… https://t.co/ZrRGUduQ40",12
0.0,Sat Jul 14 03:16:03 +0000 2018,0.0,1.0,@CNN,0.0,Mysterious burns on teen's face caused by brush with toxic plant https://t.co/oHEvX9UAW9 https://t.co/bU0ztER1VM,13
0.5709,Sat Jul 14 03:14:15 +0000 2018,0.0,0.81,@CNN,0.19,"RT @AC360: Hi, I'm @AndersonCooper. I am really excited about our new show on Facebook Watch called Full Circle, a program created for you,…",14
0.0,Sat Jul 14 03:01:03 +0000 2018,0.0,1.0,@CNN,0.0,Roger Stone appears to be the unnamed individual in a new Russia probe indictment made public Friday who is describ… https://t.co/zeashgdqOn,15
-0.7003,Sat Jul 14 02:51:02 +0000 2018,0.225,0.775,@CNN,0.0,The woman who was harassed by a man for wearing a Puerto Rico flag shirt wants the officer who ignored her pleas fo… https://t.co/JuErNNdBTT,16
-0.5574,Sat Jul 14 02:31:56 +0000 2018,0.187,0.813,@CNN,0.0,"RT @AC360: Anderson Cooper: The ""witch hunt,"" as the President called it, has now yielded 191 charges against 32 individuals and 3 companie…",17
0.0,Sat Jul 14 02:28:19 +0000 2018,0.0,1.0,@CNN,0.0,How will Trump deal with Putin in Helsinki? | By Michael Bociurkiw via @CNNOpinion https://t.co/8TvNaMjvxP https://t.co/5P7J59HZtl,18
0.0,Sat Jul 14 02:27:07 +0000 2018,0.0,1.0,@CNN,0.0,6 takeaways from the indictment of Russians for DNC hacking https://t.co/YjtwLqHn5F https://t.co/nAryrG6hCZ,19
0.296,Sat Jul 14 02:24:13 +0000 2018,0.0,0.82,@CNN,0.18,Apple is helping bring education to girls in Brazil https://t.co/iFGmNlvCNu https://t.co/yNYKe0uvdN,20
0.0,Sat Jul 14 02:16:03 +0000 2018,0.0,1.0,@CNN,0.0,"Despite Russia election bombshell, the Trump-Putin show will go on | Analysis by CNN's @StCollinson… https://t.co/z05mQ9M8DT",21
0.0,Sat Jul 14 02:15:12 +0000 2018,0.0,1.0,@CNN,0.0,"A Chinese spy ship is currently spying on a major US-led military exercise off the coast of Hawaii, the same exerci… https://t.co/TqPlHPG1b6",22
-0.9042,Sat Jul 14 02:07:48 +0000 2018,0.397,0.603,@CNN,0.0,At least 128 people have died in a suicide attack in Pakistan that targeted the convoy of a political candidate in… https://t.co/n2w7kqnweP,23
-0.4767,Sat Jul 14 02:06:03 +0000 2018,0.14,0.86,@CNN,0.0,Former Pakistani Prime Minister Nawaz Sharif and his daughter have been arrested and are being held in Islamabad af… https://t.co/w980YBz06B,24
0.4118,Sat Jul 14 02:01:04 +0000 2018,0.0,0.842,@CNN,0.158,"The FDA for the first time has approved a drug to treat smallpox.

The disease was eradicated in the 1980s, but the… https://t.co/80tEjE75Yi",25
-0.5994,Sat Jul 14 01:51:06 +0000 2018,0.17,0.83,@CNN,0.0,The death of a 16-year-old who was pinned and suffocated in his own minivan has prompted Cincinnati officials to im… https://t.co/l0xG9BFXxP,26
